Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,Regime,LaggedRegime
1990-02-28,1.11,1.15,0.65,-0.04,-0.61,0.57,-0.51,3.720975534234392,1.4700797392841718,0.8284277058784009,0.8272962119970112,0,1
1990-03-31,1.83,1.59,-2.9,1.99,-0.94,0.64,1.72,3.9990442214729667,1.2145903669376412,0.893331621515764,0.7497417318905767,0,0
1990-04-30,-3.36,-0.35,-2.57,1.78,-1.0,0.69,2.28,3.8155195990698405,1.9169420241828325,0.7489478649485953,0.03059015967867471,0,0
1990-05-31,8.44,-2.41,-3.89,1.68,-1.63,0.68,3.14,3.7126577425944705,1.8225873584987151,0.7910976934245998,-0.4021838333351196,0,0
1990-06-30,-1.09,1.31,-2.0,-0.99,-0.39,0.63,2.49,3.895296029676056,1.0538640874421634,1.0633410561115286,1.143510249817656,0,0
1990-07-31,-1.9,-3.15,-0.06,-0.1,3.21,0.68,6.04,3.5353051988950925,1.5376207965894286,1.0047897345037742,0.5546048136379856,0,0
1990-08-31,-10.13,-3.79,1.56,-0.48,2.99,0.66,1.97,3.3830938188128834,1.8259657783121819,1.3257880051636133,2.2525292294811545,0,0
1990-09-30,-6.11,-3.72,0.59,0.03,3.62,0.6,5.71,3.2253819552403784,2.103346031290983,1.3861086034263521,2.0385194681531367,0,0
1990-10-31,-1.91,-5.06,0.08,3.17,-0.25,0.68,6.74,2.8327708766968054,2.667619831004386,1.0857646969080732,1.9204230920774583,0,0
1990-11-30,6.35,0.02,-2.97,0.58,-4.71,0.57,-5.36,2.3926466175219248,2.8476524853344696,0.8589824454820991,0.34301749722666863,0,0
1990-12-31,2.48,0.6,-1.57,2.66,-1.98,0.6,0.25,2.2196898679225088,2.4655405299170527,0.9236402193486242,0.756975450907106,0,0
1991-01-31,4.69,3.87,-1.48,1.34,-4.07,0.52,-6.47,1.939651217580917,2.564255292715294,0.9896897175757491,0.934366352016265,0,0
1991-02-28,7.21,4.02,-0.62,-0.06,-0.34,0.48,-4.94,1.7435144237424518,2.29874061131976,0.9960704174803581,-0.3396776679536102,0,0
1991-03-31,2.67,3.81,-1.3,-0.52,-0.99,0.44,2.71,1.955039833802829,2.1013679392214155,1.2464810892161224,-0.9062445274693334,0,0
1991-04-30,-0.29,0.35,1.49,0.67,0.81,0.53,-2.32,2.1478874542627624,1.1882586433749573,1.635864296544741,-0.23398805483491572,1,0
