Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1990-01-31,-7.8,-1.21,0.83,-1.12,1.4,0.57,-2.98,3.802730083425676,0.8461614910639432,1.1430508654038916,2.367814744478922,0.09934132920809231,1
1990-02-28,1.11,1.15,0.65,-0.04,-0.61,0.57,-0.51,3.7204133671662154,1.4780082186398609,0.8172795933686692,0.8329853751602434,0.5569702079542067,1
1990-03-31,1.83,1.59,-2.9,1.99,-0.94,0.64,1.72,3.9984397499027526,1.2230819788080904,0.8843408160589011,0.7533927601740149,0.3593394988670113,1
1990-04-30,-3.36,-0.35,-2.57,1.78,-1.0,0.69,2.28,3.8140300959329334,1.9246111566624429,0.7387007957949986,0.03150414800774885,0.06759536870930227,1
1990-05-31,8.44,-2.41,-3.89,1.68,-1.63,0.68,3.14,3.711150488650289,1.8307339818342736,0.781391529245414,-0.40183850317590253,0.015522507853080271,1
1990-06-30,-1.09,1.31,-2.0,-0.99,-0.39,0.63,2.49,3.893817946365142,1.062758457586515,1.0602333984398784,1.1384731818236642,-0.5135167853950005,1
1990-07-31,-1.9,-3.15,-0.06,-0.1,3.21,0.68,6.04,3.5334845743471863,1.5460773055400594,0.9994705632129218,0.5499647422921798,-0.4841400807016213,1
1990-08-31,-10.13,-3.79,1.56,-0.48,2.99,0.66,1.97,3.381332856219092,1.8347211355321786,1.3190073030099199,2.2493359273334983,-0.35103825680880735,1
1990-09-30,-6.11,-3.72,0.59,0.03,3.62,0.6,5.71,3.223605100354334,2.112435117995138,1.3771275362625985,2.0369547028713946,-0.19210729007515318,1
1990-10-31,-1.91,-5.06,0.08,3.17,-0.25,0.68,6.74,2.829835070890715,2.675167145201855,1.0778143002408644,1.9129817080824911,-0.8013804248768805,1
1990-11-30,6.35,0.02,-2.97,0.58,-4.71,0.57,-5.36,2.3897039009558534,2.8548627095833607,0.8487183074733714,0.33742897114163717,-0.6145810149042018,1
1990-12-31,2.48,0.6,-1.57,2.66,-1.98,0.6,0.25,2.2167838654997536,2.4728887593632334,0.916308906550764,0.7491205666062868,-0.8361590073010303,1
1991-01-31,4.69,3.87,-1.48,1.34,-4.07,0.52,-6.47,1.9373101711332301,2.571629798664229,0.97893140559988,0.9319130149416804,-0.29408667224762464,1
1991-02-28,7.21,4.02,-0.62,-0.06,-0.34,0.48,-4.94,1.7411878716052378,2.3064029679968714,0.9869666380202474,-0.343227117746773,-0.3928600324175413,1
1991-03-31,2.67,3.81,-1.3,-0.52,-0.99,0.44,2.71,1.9526660118171597,2.1103209517451638,1.2392364603054125,-0.9115716146008479,-0.562287490087039,1
1991-04-30,-0.29,0.35,1.49,0.67,0.81,0.53,-2.32,2.1470813088641205,1.1989976497374533,1.628424236426445,-0.23230361142712758,0.16839793698750227,1
